RAZON,Derivado al JEE de Tacna,Improcedente,Concedido 
El JEE de Canchis no tiene competencias para emitir un fallo sobre la apelación,1.0,0.0,0.0
Extemporáneo,0.0,1.0,0.0
Extemporáneo y no adjuntó comprobante de pago de tasa de pago electoral,0.0,2.0,0.0
No adjuntó pago de tasa electoral,0.0,51.0,0.0
Presentó una tasa ya utilizada y no corresponde al recurso de apelación,0.0,6.0,0.0
Será resuelto por el JNE,0.0,0.0,9.0
