ID,DEPARTAMENTO
PE-AMA,AMAZONAS
PE-ANC,ANCASH
PE-APU,APURIMAC
PE-ARE,AREQUIPA
PE-AYA,AYACUCHO
PE-CAJ,CAJAMARCA
PE-CAL,CALLAO
PE-CUS,CUSCO
PE-HUC,HUANUCO
PE-HUV,HUANCAVELICA
PE-ICA,ICA
PE-JUN,JUNIN
PE-LAL,LA LIBERTAD
PE-LAM,LAMBAYEQUE
PE-LIM,LIMA
PE-LOR,LORETO
PE-MDD,MADRE DE DIOS
PE-MOQ,MOQUEGUA
PE-PAS,PASCO
PE-PIU,PIURA
PE-PUN,PUNO
PE-SAM,SAN MARTIN
PE-TAC,TACNA
PE-TUM,TUMBES
PE-UCA,UCAYALI
