PROCEDENCIA,CANTIDAD
AFRICA,1
AMAZONAS,43
AMERICA,16
ANCASH,42
APURIMAC,42
AREQUIPA,43
AYACUCHO,284
CAJAMARCA,128
CUSCO,51
HUANCAVELICA,147
HUANUCO,82
ICA,2
LAMBAYEQUE,4
LIMA,2
LORETO,163
MADRE DE DIOS,83
MOQUEGUA,16
PASCO,18
PIURA,6
PUNO,26
SAN MARTIN,44
SIN DEPARTAMENTO,48
TACNA,52
